Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_50_301,VGND,li1,144.2100,146.8800,0.000132
FILLER_50_293,VGND,li1,142.1400,146.8800,0.000132
FILLER_50_281,VGND,li1,137.5400,146.8800,0.000132
FILLER_50_277,VGND,li1,133.6300,146.8800,0.000132
FILLER_50_265,VGND,li1,130.1800,146.8800,0.000132
FILLER_50_261,VGND,li1,125.8100,146.8800,0.000132
FILLER_50_253,VGND,li1,123.7400,146.8800,0.000132
FILLER_50_251,VGND,li1,121.2100,146.8800,0.000132
FILLER_50_244,VGND,li1,118.6800,146.8800,0.000132
FILLER_50_237,VGND,li1,115.4600,146.8800,0.000132
FILLER_50_233,VGND,li1,112.9300,146.8800,0.000132
FILLER_50_225,VGND,li1,110.8600,146.8800,0.000132
FILLER_50_216,VGND,li1,105.8000,146.8800,0.000129
FILLER_50_209,VGND,li1,102.5800,146.8800,0.000126
FILLER_50_197,VGND,li1,98.9000,146.8800,0.000121
FILLER_50_193,VGND,li1,94.9900,146.8800,0.000115
FILLER_50_181,VGND,li1,91.5400,146.8800,0.000110
FILLER_50_169,VGND,li1,86.0200,146.8800,0.000102
FILLER_50_165,VGND,li1,82.1100,146.8800,0.000095
FILLER_50_153,VGND,li1,78.6600,146.8800,0.000092
FILLER_50_147,VGND,li1,73.8300,146.8800,0.000083
FILLER_50_141,VGND,li1,70.8400,146.8800,0.000080
FILLER_50_139,VGND,li1,69.6900,146.8800,0.000077
FILLER_50_133,VGND,li1,68.0800,146.8800,0.000077
FILLER_50_125,VGND,li1,63.9400,146.8800,0.000071
FILLER_50_113,VGND,li1,60.2600,146.8800,0.000065
FILLER_50_109,VGND,li1,56.3500,146.8800,0.000058
FILLER_50_97,VGND,li1,52.9000,146.8800,0.000055
FILLER_50_85,VGND,li1,47.3800,146.8800,0.000047
FILLER_50_81,VGND,li1,43.4700,146.8800,0.000041
FILLER_50_69,VGND,li1,40.0200,146.8800,0.000036
FILLER_50_57,VGND,li1,34.5000,146.8800,0.000028
FILLER_50_53,VGND,li1,30.5900,146.8800,0.000021
FILLER_50_41,VGND,li1,27.1400,146.8800,0.000017
FILLER_50_29,VGND,li1,21.6200,146.8800,0.000015
FILLER_50_27,VGND,li1,18.1700,146.8800,0.000015
FILLER_50_15,VGND,li1,15.1800,146.8800,0.000015
FILLER_50_3,VGND,li1,9.6600,146.8800,0.000015
FILLER_49_301,VGND,li1,144.2100,146.8800,0.000132
FILLER_49_293,VGND,li1,142.1400,146.8800,0.000132
FILLER_49_281,VGND,li1,137.5400,146.8800,0.000132
FILLER_49_279,VGND,li1,134.0900,146.8800,0.000132
FILLER_49_273,VGND,li1,132.4800,146.8800,0.000132
FILLER_49_261,VGND,li1,128.3400,146.8800,0.000132
FILLER_49_249,VGND,li1,122.8200,146.8800,0.000132
FILLER_49_237,VGND,li1,117.3000,146.8800,0.000132
FILLER_49_225,VGND,li1,111.7800,146.8800,0.000132
FILLER_49_223,VGND,li1,108.3300,146.8800,0.000131
FILLER_49_215,VGND,li1,106.2600,146.8800,0.000129
FILLER_49_205,VGND,li1,100.7400,146.8800,0.000123
FILLER_49_193,VGND,li1,97.0600,146.8800,0.000118
FILLER_49_181,VGND,li1,91.5400,146.8800,0.000110
FILLER_49_169,VGND,li1,86.0200,146.8800,0.000102
FILLER_49_167,VGND,li1,82.5700,146.8800,0.000095
FILLER_49_161,VGND,li1,80.9600,146.8800,0.000095
FILLER_49_149,VGND,li1,76.8200,146.8800,0.000087
FILLER_49_137,VGND,li1,71.3000,146.8800,0.000080
FILLER_49_125,VGND,li1,65.7800,146.8800,0.000073
FILLER_49_113,VGND,li1,60.2600,146.8800,0.000065
FILLER_49_111,VGND,li1,56.8100,146.8800,0.000058
FILLER_49_105,VGND,li1,55.2000,146.8800,0.000058
FILLER_49_93,VGND,li1,51.0600,146.8800,0.000052
FILLER_49_81,VGND,li1,45.5400,146.8800,0.000044
FILLER_49_69,VGND,li1,40.0200,146.8800,0.000036
FILLER_49_57,VGND,li1,34.5000,146.8800,0.000028
FILLER_49_55,VGND,li1,31.0500,146.8800,0.000021
FILLER_49_51,VGND,li1,29.9000,146.8800,0.000021
FILLER_49_39,VGND,li1,26.2200,146.8800,0.000015
FILLER_49_27,VGND,li1,20.7000,146.8800,0.000015
FILLER_49_15,VGND,li1,15.1800,146.8800,0.000015
FILLER_49_3,VGND,li1,9.6600,146.8800,0.000015
FILLER_48_298,VGND,li1,143.5200,141.4400,0.001144
FILLER_48_286,VGND,li1,139.8400,141.4400,0.001144
FILLER_48_274,VGND,li1,134.3200,141.4400,0.001144
FILLER_48_262,VGND,li1,128.8000,141.4400,0.001144
FILLER_48_253,VGND,li1,123.2800,141.4400,0.001144
FILLER_48_227,VGND,li1,110.6300,141.4400,0.001120
FILLER_48_219,VGND,li1,108.1000,141.4400,0.001100
FILLER_48_197,VGND,li1,96.6000,141.4400,0.001008
FILLER_48_195,VGND,li1,95.4500,141.4400,0.000990
FILLER_48_185,VGND,li1,91.0800,141.4400,0.000959
FILLER_48_177,VGND,li1,88.7800,141.4400,0.000935
FILLER_48_165,VGND,li1,84.1800,141.4400,0.000866
FILLER_48_153,VGND,li1,78.6600,141.4400,0.000815
FILLER_48_141,VGND,li1,73.1400,141.4400,0.000749
FILLER_48_139,VGND,li1,69.6900,141.4400,0.000695
FILLER_48_135,VGND,li1,68.5400,141.4400,0.000695
FILLER_48_123,VGND,li1,64.8600,141.4400,0.000649
FILLER_48_97,VGND,li1,51.5200,141.4400,0.000473
FILLER_48_85,VGND,li1,47.3800,141.4400,0.000425
FILLER_48_83,VGND,li1,43.9300,141.4400,0.000358
FILLER_48_77,VGND,li1,42.3200,141.4400,0.000358
FILLER_48_65,VGND,li1,38.1800,141.4400,0.000304
FILLER_48_53,VGND,li1,32.6600,141.4400,0.000231
FILLER_48_41,VGND,li1,27.1400,141.4400,0.000158
FILLER_48_29,VGND,li1,21.6200,141.4400,0.000132
FILLER_48_27,VGND,li1,18.1700,141.4400,0.000132
FILLER_48_15,VGND,li1,15.1800,141.4400,0.000132
FILLER_48_3,VGND,li1,9.6600,141.4400,0.000132
FILLER_47_301,VGND,li1,144.2100,141.4400,0.001144
FILLER_47_293,VGND,li1,142.1400,141.4400,0.001144
FILLER_47_281,VGND,li1,137.5400,141.4400,0.001144
FILLER_47_276,VGND,li1,133.4000,141.4400,0.001144
FILLER_47_264,VGND,li1,129.7200,141.4400,0.001144
FILLER_47_252,VGND,li1,124.2000,141.4400,0.001144
FILLER_47_225,VGND,li1,109.2500,141.4400,0.001111
FILLER_47_215,VGND,li1,104.8800,141.4400,0.001077
FILLER_47_169,VGND,li1,83.9500,141.4400,0.000866
FILLER_47_167,VGND,li1,82.5700,141.4400,0.000842
FILLER_47_161,VGND,li1,80.9600,141.4400,0.000842
FILLER_47_149,VGND,li1,76.8200,141.4400,0.000779
FILLER_47_128,VGND,li1,64.6300,141.4400,0.000627
FILLER_47_122,VGND,li1,63.0200,141.4400,0.000627
FILLER_47_111,VGND,li1,56.8100,141.4400,0.000528
FILLER_47_105,VGND,li1,55.2000,141.4400,0.000528
FILLER_47_93,VGND,li1,51.0600,141.4400,0.000473
FILLER_47_81,VGND,li1,45.5400,141.4400,0.000385
FILLER_47_69,VGND,li1,40.0200,141.4400,0.000328
FILLER_47_57,VGND,li1,34.5000,141.4400,0.000255
FILLER_47_55,VGND,li1,31.0500,141.4400,0.000195
FILLER_47_51,VGND,li1,29.9000,141.4400,0.000195
FILLER_47_39,VGND,li1,26.2200,141.4400,0.000132
FILLER_47_27,VGND,li1,20.7000,141.4400,0.000132
FILLER_47_15,VGND,li1,15.1800,141.4400,0.000132
FILLER_47_3,VGND,li1,9.6600,141.4400,0.000132
FILLER_46_291,VGND,li1,141.2200,136.0000,0.002100
FILLER_46_279,VGND,li1,136.6200,136.0000,0.002095
FILLER_46_267,VGND,li1,131.1000,136.0000,0.002086
FILLER_46_251,VGND,li1,121.2100,136.0000,0.002042
FILLER_46_247,VGND,li1,120.0600,136.0000,0.002042
FILLER_46_229,VGND,li1,111.3200,136.0000,0.001965
FILLER_46_221,VGND,li1,107.4100,136.0000,0.001903
FILLER_46_217,VGND,li1,106.2600,136.0000,0.001873
FILLER_46_213,VGND,li1,103.7300,136.0000,0.001836
FILLER_46_207,VGND,li1,102.1200,136.0000,0.001836
FILLER_46_195,VGND,li1,95.4500,136.0000,0.001733
FILLER_46_174,VGND,li1,86.2500,136.0000,0.001563
FILLER_46_162,VGND,li1,82.8000,136.0000,0.001493
FILLER_46_150,VGND,li1,77.2800,136.0000,0.001364
FILLER_46_132,VGND,li1,68.0800,136.0000,0.001211
FILLER_46_103,VGND,li1,53.1300,136.0000,0.000856
FILLER_46_97,VGND,li1,51.5200,136.0000,0.000856
FILLER_46_85,VGND,li1,47.3800,136.0000,0.000763
FILLER_46_83,VGND,li1,43.9300,136.0000,0.000649
FILLER_46_77,VGND,li1,42.3200,136.0000,0.000649
FILLER_46_65,VGND,li1,38.1800,136.0000,0.000554
FILLER_46_53,VGND,li1,32.6600,136.0000,0.000384
FILLER_46_41,VGND,li1,27.1400,136.0000,0.000291
FILLER_46_29,VGND,li1,21.6200,136.0000,0.000243
FILLER_46_27,VGND,li1,18.1700,136.0000,0.000243
FILLER_46_15,VGND,li1,15.1800,136.0000,0.000244
FILLER_46_3,VGND,li1,9.6600,136.0000,0.000244
FILLER_45_297,VGND,li1,142.3700,136.0000,0.002100
FILLER_45_293,VGND,li1,141.2200,136.0000,0.002100
FILLER_45_289,VGND,li1,138.6900,136.0000,0.002097
FILLER_45_281,VGND,li1,136.6200,136.0000,0.002095
FILLER_45_279,VGND,li1,134.0900,136.0000,0.002091
FILLER_45_257,VGND,li1,124.4300,136.0000,0.002066
FILLER_45_245,VGND,li1,119.6000,136.0000,0.002030
FILLER_45_233,VGND,li1,115.4600,136.0000,0.002009
FILLER_45_225,VGND,li1,109.7100,136.0000,0.001933
FILLER_45_216,VGND,li1,106.7200,136.0000,0.001903
FILLER_45_204,VGND,li1,102.1200,136.0000,0.001836
FILLER_45_184,VGND,li1,90.6200,136.0000,0.001620
FILLER_45_169,VGND,li1,86.0200,136.0000,0.001563
FILLER_45_166,VGND,li1,82.3400,136.0000,0.001493
FILLER_45_140,VGND,li1,70.1500,136.0000,0.001254
FILLER_45_134,VGND,li1,68.5400,136.0000,0.001211
FILLER_45_122,VGND,li1,64.4000,136.0000,0.001135
FILLER_45_100,VGND,li1,54.2800,136.0000,0.000918
FILLER_45_88,VGND,li1,48.7600,136.0000,0.000763
FILLER_45_63,VGND,li1,34.7300,136.0000,0.000433
FILLER_45_57,VGND,li1,33.1200,136.0000,0.000433
FILLER_45_55,VGND,li1,31.0500,136.0000,0.000384
FILLER_45_47,VGND,li1,28.9800,136.0000,0.000335
FILLER_45_38,VGND,li1,23.2300,136.0000,0.000243
FILLER_45_30,VGND,li1,21.1600,136.0000,0.000243
FILLER_45_18,VGND,li1,16.5600,136.0000,0.000244
FILLER_45_6,VGND,li1,11.0400,136.0000,0.000244
FILLER_44_301,VGND,li1,144.2100,130.5600,0.001426
FILLER_44_279,VGND,li1,134.3200,130.5600,0.001421
FILLER_44_271,VGND,li1,132.0200,130.5600,0.001418
FILLER_44_260,VGND,li1,125.3500,130.5600,0.001408
FILLER_44_251,VGND,li1,121.2100,130.5600,0.001387
FILLER_44_243,VGND,li1,119.1400,130.5600,0.001374
FILLER_44_239,VGND,li1,115.6900,130.5600,0.001350
FILLER_44_233,VGND,li1,114.0800,130.5600,0.001350
FILLER_44_221,VGND,li1,109.9400,130.5600,0.001302
FILLER_44_209,VGND,li1,104.4200,130.5600,0.001266
FILLER_44_197,VGND,li1,98.9000,130.5600,0.001214
FILLER_44_195,VGND,li1,95.4500,130.5600,0.001182
FILLER_44_183,VGND,li1,92.4600,130.5600,0.001145
FILLER_44_171,VGND,li1,86.9400,130.5600,0.001073
FILLER_44_141,VGND,li1,71.0700,130.5600,0.000895
FILLER_44_124,VGND,li1,64.4000,130.5600,0.000818
FILLER_44_105,VGND,li1,54.5100,130.5600,0.000678
FILLER_44_97,VGND,li1,51.9800,130.5600,0.000640
FILLER_44_85,VGND,li1,47.3800,130.5600,0.000557
FILLER_44_80,VGND,li1,43.2400,130.5600,0.000507
FILLER_44_65,VGND,li1,36.8000,130.5600,0.000403
FILLER_44_53,VGND,li1,32.6600,130.5600,0.000325
FILLER_44_27,VGND,li1,18.1700,130.5600,0.000215
FILLER_44_15,VGND,li1,13.3400,130.5600,0.000217
FILLER_44_3,VGND,li1,9.6600,130.5600,0.000217
FILLER_43_301,VGND,li1,144.2100,130.5600,0.001426
FILLER_43_293,VGND,li1,142.1400,130.5600,0.001426
FILLER_43_281,VGND,li1,137.5400,130.5600,0.001424
FILLER_43_277,VGND,li1,133.6300,130.5600,0.001418
FILLER_43_265,VGND,li1,130.1800,130.5600,0.001415
FILLER_43_246,VGND,li1,120.5200,130.5600,0.001387
FILLER_43_223,VGND,li1,108.3300,130.5600,0.001302
FILLER_43_211,VGND,li1,105.3400,130.5600,0.001266
FILLER_43_199,VGND,li1,99.8200,130.5600,0.001214
FILLER_43_173,VGND,li1,85.3300,130.5600,0.001073
FILLER_43_169,VGND,li1,84.1800,130.5600,0.001047
FILLER_43_162,VGND,li1,81.4200,130.5600,0.001024
FILLER_43_151,VGND,li1,75.4400,130.5600,0.000958
FILLER_43_122,VGND,li1,62.5600,130.5600,0.000793
FILLER_43_101,VGND,li1,52.4400,130.5600,0.000640
FILLER_43_93,VGND,li1,50.1400,130.5600,0.000612
FILLER_43_68,VGND,li1,37.0300,130.5600,0.000403
FILLER_43_57,VGND,li1,32.2000,130.5600,0.000325
FILLER_43_52,VGND,li1,30.3600,130.5600,0.000294
FILLER_43_25,VGND,li1,17.4800,130.5600,0.000217
FILLER_43_11,VGND,li1,10.8100,130.5600,0.000217
FILLER_43_3,VGND,li1,8.7400,130.5600,0.000217
FILLER_42_301,VGND,li1,144.2100,125.1200,0.001161
FILLER_42_289,VGND,li1,141.2200,125.1200,0.001161
FILLER_42_277,VGND,li1,135.7000,125.1200,0.001160
FILLER_42_265,VGND,li1,130.1800,125.1200,0.001157
FILLER_42_253,VGND,li1,124.6600,125.1200,0.001155
FILLER_42_248,VGND,li1,120.5200,125.1200,0.001152
FILLER_42_236,VGND,li1,116.8400,125.1200,0.001148
FILLER_42_224,VGND,li1,111.3200,125.1200,0.001134
FILLER_42_220,VGND,li1,106.9500,125.1200,0.001126
FILLER_42_206,VGND,li1,101.2000,125.1200,0.001107
FILLER_42_195,VGND,li1,95.4500,125.1200,0.001089
FILLER_42_169,VGND,li1,83.4900,125.1200,0.001005
FILLER_42_163,VGND,li1,81.8800,125.1200,0.001005
FILLER_42_141,VGND,li1,70.6100,125.1200,0.000895
FILLER_42_129,VGND,li1,65.3200,125.1200,0.000843
FILLER_42_88,VGND,li1,46.9200,125.1200,0.000593
FILLER_42_50,VGND,li1,29.4400,125.1200,0.000267
FILLER_42_27,VGND,li1,18.1700,125.1200,0.000226
FILLER_42_21,VGND,li1,16.5600,125.1200,0.000226
FILLER_42_3,VGND,li1,7.3600,125.1200,0.000231
FILLER_41_301,VGND,li1,144.2100,125.1200,0.001161
FILLER_41_297,VGND,li1,143.0600,125.1200,0.001161
FILLER_41_281,VGND,li1,136.6200,125.1200,0.001160
FILLER_41_277,VGND,li1,133.6300,125.1200,0.001159
FILLER_41_265,VGND,li1,130.1800,125.1200,0.001157
FILLER_41_253,VGND,li1,124.6600,125.1200,0.001155
FILLER_41_228,VGND,li1,113.1600,125.1200,0.001141
FILLER_41_222,VGND,li1,108.1000,125.1200,0.001130
FILLER_41_213,VGND,li1,103.9600,125.1200,0.001117
FILLER_41_204,VGND,li1,100.0500,125.1200,0.001107
FILLER_41_192,VGND,li1,96.6000,125.1200,0.001089
FILLER_41_169,VGND,li1,83.7200,125.1200,0.001020
FILLER_41_165,VGND,li1,82.1100,125.1200,0.001005
FILLER_41_145,VGND,li1,73.1400,125.1200,0.000926
FILLER_41_92,VGND,li1,48.7600,125.1200,0.000622
FILLER_41_73,VGND,li1,39.5600,125.1200,0.000471
FILLER_41_55,VGND,li1,31.0500,125.1200,0.000323
FILLER_41_43,VGND,li1,28.0600,125.1200,0.000267
FILLER_41_30,VGND,li1,20.2400,125.1200,0.000223
