Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_50_301,VPWR,li1,144.2100,149.6000,1.799892
FILLER_50_293,VPWR,li1,142.1400,149.6000,1.799892
FILLER_50_281,VPWR,li1,137.5400,149.6000,1.799892
FILLER_50_277,VPWR,li1,133.6300,149.6000,1.799892
FILLER_50_265,VPWR,li1,130.1800,149.6000,1.799892
FILLER_50_261,VPWR,li1,125.8100,149.6000,1.799892
FILLER_50_253,VPWR,li1,123.7400,149.6000,1.799892
FILLER_50_251,VPWR,li1,121.2100,149.6000,1.799892
FILLER_50_244,VPWR,li1,118.6800,149.6000,1.799892
FILLER_50_237,VPWR,li1,115.4600,149.6000,1.799892
FILLER_50_233,VPWR,li1,112.9300,149.6000,1.799892
FILLER_50_225,VPWR,li1,110.8600,149.6000,1.799893
FILLER_50_216,VPWR,li1,105.8000,149.6000,1.799895
FILLER_50_209,VPWR,li1,102.5800,149.6000,1.799898
FILLER_50_197,VPWR,li1,98.9000,149.6000,1.799902
FILLER_50_193,VPWR,li1,94.9900,149.6000,1.799907
FILLER_50_181,VPWR,li1,91.5400,149.6000,1.799911
FILLER_50_169,VPWR,li1,86.0200,149.6000,1.799917
FILLER_50_165,VPWR,li1,82.1100,149.6000,1.799921
FILLER_50_153,VPWR,li1,78.6600,149.6000,1.799925
FILLER_50_147,VPWR,li1,73.8300,149.6000,1.799932
FILLER_50_141,VPWR,li1,70.8400,149.6000,1.799934
FILLER_50_139,VPWR,li1,69.6900,149.6000,1.799936
FILLER_50_133,VPWR,li1,68.0800,149.6000,1.799936
FILLER_50_125,VPWR,li1,63.9400,149.6000,1.799941
FILLER_50_113,VPWR,li1,60.2600,149.6000,1.799945
FILLER_50_109,VPWR,li1,56.3500,149.6000,1.799950
FILLER_50_97,VPWR,li1,52.9000,149.6000,1.799953
FILLER_50_85,VPWR,li1,47.3800,149.6000,1.799960
FILLER_50_81,VPWR,li1,43.4700,149.6000,1.799964
FILLER_50_69,VPWR,li1,40.0200,149.6000,1.799968
FILLER_50_57,VPWR,li1,34.5000,149.6000,1.799974
FILLER_50_53,VPWR,li1,30.5900,149.6000,1.799979
FILLER_50_41,VPWR,li1,27.1400,149.6000,1.799983
FILLER_50_29,VPWR,li1,21.6200,149.6000,1.799989
FILLER_50_27,VPWR,li1,18.1700,149.6000,1.799989
FILLER_50_15,VPWR,li1,15.1800,149.6000,1.799989
FILLER_50_3,VPWR,li1,9.6600,149.6000,1.799989
FILLER_49_301,VPWR,li1,144.2100,144.1600,1.799652
FILLER_49_293,VPWR,li1,142.1400,144.1600,1.799652
FILLER_49_281,VPWR,li1,137.5400,144.1600,1.799652
FILLER_49_279,VPWR,li1,134.0900,144.1600,1.799652
FILLER_49_273,VPWR,li1,132.4800,144.1600,1.799652
FILLER_49_261,VPWR,li1,128.3400,144.1600,1.799652
FILLER_49_249,VPWR,li1,122.8200,144.1600,1.799652
FILLER_49_237,VPWR,li1,117.3000,144.1600,1.799652
FILLER_49_225,VPWR,li1,111.7800,144.1600,1.799658
FILLER_49_223,VPWR,li1,108.3300,144.1600,1.799662
FILLER_49_215,VPWR,li1,106.2600,144.1600,1.799665
FILLER_49_205,VPWR,li1,100.7400,144.1600,1.799674
FILLER_49_193,VPWR,li1,97.0600,144.1600,1.799688
FILLER_49_181,VPWR,li1,91.5400,144.1600,1.799703
FILLER_49_169,VPWR,li1,86.0200,144.1600,1.799721
FILLER_49_167,VPWR,li1,82.5700,144.1600,1.799738
FILLER_49_161,VPWR,li1,80.9600,144.1600,1.799738
FILLER_49_149,VPWR,li1,76.8200,144.1600,1.799757
FILLER_49_137,VPWR,li1,71.3000,144.1600,1.799772
FILLER_49_125,VPWR,li1,65.7800,144.1600,1.799794
FILLER_49_113,VPWR,li1,60.2600,144.1600,1.799810
FILLER_49_111,VPWR,li1,56.8100,144.1600,1.799828
FILLER_49_105,VPWR,li1,55.2000,144.1600,1.799828
FILLER_49_93,VPWR,li1,51.0600,144.1600,1.799844
FILLER_49_81,VPWR,li1,45.5400,144.1600,1.799870
FILLER_49_69,VPWR,li1,40.0200,144.1600,1.799887
FILLER_49_57,VPWR,li1,34.5000,144.1600,1.799908
FILLER_49_55,VPWR,li1,31.0500,144.1600,1.799926
FILLER_49_51,VPWR,li1,29.9000,144.1600,1.799926
FILLER_49_39,VPWR,li1,26.2200,144.1600,1.799940
FILLER_49_27,VPWR,li1,20.7000,144.1600,1.799961
FILLER_49_15,VPWR,li1,15.1800,144.1600,1.799961
FILLER_49_3,VPWR,li1,9.6600,144.1600,1.799961
FILLER_48_298,VPWR,li1,143.5200,144.1600,1.799652
FILLER_48_286,VPWR,li1,139.8400,144.1600,1.799652
FILLER_48_274,VPWR,li1,134.3200,144.1600,1.799652
FILLER_48_262,VPWR,li1,128.8000,144.1600,1.799652
FILLER_48_253,VPWR,li1,123.2800,144.1600,1.799652
FILLER_48_227,VPWR,li1,110.6300,144.1600,1.799658
FILLER_48_219,VPWR,li1,108.1000,144.1600,1.799662
FILLER_48_197,VPWR,li1,96.6000,144.1600,1.799688
FILLER_48_195,VPWR,li1,95.4500,144.1600,1.799694
FILLER_48_185,VPWR,li1,91.0800,144.1600,1.799703
FILLER_48_177,VPWR,li1,88.7800,144.1600,1.799711
FILLER_48_165,VPWR,li1,84.1800,144.1600,1.799731
FILLER_48_153,VPWR,li1,78.6600,144.1600,1.799746
FILLER_48_141,VPWR,li1,73.1400,144.1600,1.799765
FILLER_48_139,VPWR,li1,69.6900,144.1600,1.799781
FILLER_48_135,VPWR,li1,68.5400,144.1600,1.799781
FILLER_48_123,VPWR,li1,64.8600,144.1600,1.799794
FILLER_48_97,VPWR,li1,51.5200,144.1600,1.799844
FILLER_48_85,VPWR,li1,47.3800,144.1600,1.799858
FILLER_48_83,VPWR,li1,43.9300,144.1600,1.799878
FILLER_48_77,VPWR,li1,42.3200,144.1600,1.799878
FILLER_48_65,VPWR,li1,38.1800,144.1600,1.799894
FILLER_48_53,VPWR,li1,32.6600,144.1600,1.799915
FILLER_48_41,VPWR,li1,27.1400,144.1600,1.799940
FILLER_48_29,VPWR,li1,21.6200,144.1600,1.799961
FILLER_48_27,VPWR,li1,18.1700,144.1600,1.799961
FILLER_48_15,VPWR,li1,15.1800,144.1600,1.799961
FILLER_48_3,VPWR,li1,9.6600,144.1600,1.799961
FILLER_47_301,VPWR,li1,144.2100,138.7200,1.798254
FILLER_47_293,VPWR,li1,142.1400,138.7200,1.798254
FILLER_47_281,VPWR,li1,137.5400,138.7200,1.798254
FILLER_47_276,VPWR,li1,133.4000,138.7200,1.798254
FILLER_47_264,VPWR,li1,129.7200,138.7200,1.798254
FILLER_47_252,VPWR,li1,124.2000,138.7200,1.798257
FILLER_47_225,VPWR,li1,109.2500,138.7200,1.798330
FILLER_47_215,VPWR,li1,104.8800,138.7200,1.798369
FILLER_47_169,VPWR,li1,83.9500,138.7200,1.798665
FILLER_47_167,VPWR,li1,82.5700,138.7200,1.798695
FILLER_47_161,VPWR,li1,80.9600,138.7200,1.798695
FILLER_47_149,VPWR,li1,76.8200,138.7200,1.798782
FILLER_47_128,VPWR,li1,64.6300,138.7200,1.798968
FILLER_47_122,VPWR,li1,63.0200,138.7200,1.799004
FILLER_47_111,VPWR,li1,56.8100,138.7200,1.799139
FILLER_47_105,VPWR,li1,55.2000,138.7200,1.799139
FILLER_47_93,VPWR,li1,51.0600,138.7200,1.799219
FILLER_47_81,VPWR,li1,45.5400,138.7200,1.799348
FILLER_47_69,VPWR,li1,40.0200,138.7200,1.799433
FILLER_47_57,VPWR,li1,34.5000,138.7200,1.799540
FILLER_47_55,VPWR,li1,31.0500,138.7200,1.799629
FILLER_47_51,VPWR,li1,29.9000,138.7200,1.799629
FILLER_47_39,VPWR,li1,26.2200,138.7200,1.799700
FILLER_47_27,VPWR,li1,20.7000,138.7200,1.799806
FILLER_47_15,VPWR,li1,15.1800,138.7200,1.799806
FILLER_47_3,VPWR,li1,9.6600,138.7200,1.799806
FILLER_46_291,VPWR,li1,141.2200,138.7200,1.798254
FILLER_46_279,VPWR,li1,136.6200,138.7200,1.798254
FILLER_46_267,VPWR,li1,131.1000,138.7200,1.798254
FILLER_46_251,VPWR,li1,121.2100,138.7200,1.798265
FILLER_46_247,VPWR,li1,120.0600,138.7200,1.798265
FILLER_46_229,VPWR,li1,111.3200,138.7200,1.798309
FILLER_46_221,VPWR,li1,107.4100,138.7200,1.798345
FILLER_46_217,VPWR,li1,106.2600,138.7200,1.798369
FILLER_46_213,VPWR,li1,103.7300,138.7200,1.798396
FILLER_46_207,VPWR,li1,102.1200,138.7200,1.798396
FILLER_46_195,VPWR,li1,95.4500,138.7200,1.798474
FILLER_46_174,VPWR,li1,86.2500,138.7200,1.798608
FILLER_46_162,VPWR,li1,82.8000,138.7200,1.798665
FILLER_46_150,VPWR,li1,77.2800,138.7200,1.798782
FILLER_46_132,VPWR,li1,68.0800,138.7200,1.798908
FILLER_46_103,VPWR,li1,53.1300,138.7200,1.799179
FILLER_46_97,VPWR,li1,51.5200,138.7200,1.799219
FILLER_46_85,VPWR,li1,47.3800,138.7200,1.799290
FILLER_46_83,VPWR,li1,43.9300,138.7200,1.799388
FILLER_46_77,VPWR,li1,42.3200,138.7200,1.799388
FILLER_46_65,VPWR,li1,38.1800,138.7200,1.799468
FILLER_46_53,VPWR,li1,32.6600,138.7200,1.799575
FILLER_46_41,VPWR,li1,27.1400,138.7200,1.799700
FILLER_46_29,VPWR,li1,21.6200,138.7200,1.799806
FILLER_46_27,VPWR,li1,18.1700,138.7200,1.799806
FILLER_46_15,VPWR,li1,15.1800,138.7200,1.799806
FILLER_46_3,VPWR,li1,9.6600,138.7200,1.799806
FILLER_45_297,VPWR,li1,142.3700,133.2800,1.798312
FILLER_45_293,VPWR,li1,141.2200,133.2800,1.798312
FILLER_45_289,VPWR,li1,138.6900,133.2800,1.798314
FILLER_45_281,VPWR,li1,136.6200,133.2800,1.798319
FILLER_45_279,VPWR,li1,134.0900,133.2800,1.798324
FILLER_45_257,VPWR,li1,124.4300,133.2800,1.798366
FILLER_45_245,VPWR,li1,119.6000,133.2800,1.798403
FILLER_45_233,VPWR,li1,115.4600,133.2800,1.798450
FILLER_45_225,VPWR,li1,109.7100,133.2800,1.798503
FILLER_45_216,VPWR,li1,106.7200,133.2800,1.798524
FILLER_45_204,VPWR,li1,102.1200,133.2800,1.798571
FILLER_45_184,VPWR,li1,90.6200,133.2800,1.798712
FILLER_45_169,VPWR,li1,86.0200,133.2800,1.798755
FILLER_45_166,VPWR,li1,82.3400,133.2800,1.798801
FILLER_45_140,VPWR,li1,70.1500,133.2800,1.798968
FILLER_45_134,VPWR,li1,68.5400,133.2800,1.798999
FILLER_45_122,VPWR,li1,64.4000,133.2800,1.799055
FILLER_45_100,VPWR,li1,54.2800,133.2800,1.799215
FILLER_45_88,VPWR,li1,48.7600,133.2800,1.799329
FILLER_45_63,VPWR,li1,34.7300,133.2800,1.799574
FILLER_45_57,VPWR,li1,33.1200,133.2800,1.799574
FILLER_45_55,VPWR,li1,31.0500,133.2800,1.799612
FILLER_45_47,VPWR,li1,28.9800,133.2800,1.799666
FILLER_45_38,VPWR,li1,23.2300,133.2800,1.799756
FILLER_45_30,VPWR,li1,21.1600,133.2800,1.799796
FILLER_45_18,VPWR,li1,16.5600,133.2800,1.799793
FILLER_45_6,VPWR,li1,11.0400,133.2800,1.799793
FILLER_44_301,VPWR,li1,144.2100,133.2800,1.798310
FILLER_44_279,VPWR,li1,134.3200,133.2800,1.798324
FILLER_44_271,VPWR,li1,132.0200,133.2800,1.798329
FILLER_44_260,VPWR,li1,125.3500,133.2800,1.798355
FILLER_44_251,VPWR,li1,121.2100,133.2800,1.798385
FILLER_44_243,VPWR,li1,119.1400,133.2800,1.798403
FILLER_44_239,VPWR,li1,115.6900,133.2800,1.798450
FILLER_44_233,VPWR,li1,114.0800,133.2800,1.798450
FILLER_44_221,VPWR,li1,109.9400,133.2800,1.798503
FILLER_44_209,VPWR,li1,104.4200,133.2800,1.798547
FILLER_44_197,VPWR,li1,98.9000,133.2800,1.798607
FILLER_44_195,VPWR,li1,95.4500,133.2800,1.798642
FILLER_44_183,VPWR,li1,92.4600,133.2800,1.798676
FILLER_44_171,VPWR,li1,86.9400,133.2800,1.798755
