net,length_um
net39,317.46µm
_291_,316.94µm
_304_,310.04µm
net40,303.16µm
_294_,300.635µm
net35,288.44µm
_296_,287.04µm
_301_,282.59µm
_300_,277.85µm
clknet_0_wr_clk,277.28µm
_295_,274.105µm
_293_,270.12µm
_289_,260.94µm
_285_,253.82µm
_299_,253.79µm
_287_,249.82µm
_298_,247.865µm
net36,246.72µm
_303_,234.91µm
_302_,228.04µm
net43,218.48µm
net68,196.7µm
net76,190.01µm
net44,189.88µm
net46,184.84µm
net75,177.08µm
net69,175.04µm
net42,173.4µm
net45,170.96µm
net47,166.19µm
net49,164.88µm
net50,150.35µm
net48,149.93µm
_226_,147.28µm
wr_clk,134.79µm
clknet_4_0_0_wr_clk,110.6µm
net59,109.755µm
net74,109.12µm
clknet_4_4_0_wr_clk,108.44µm
clknet_4_10_0_wr_clk,108µm
clknet_4_5_0_wr_clk,106.18µm
net67,105.28µm
clknet_4_1_0_wr_clk,103.54µm
clknet_4_2_0_wr_clk,103.2µm
clknet_4_7_0_wr_clk,98.92µm
net57,97.04µm
clknet_4_13_0_wr_clk,95.84µm
net65,94.86µm
net55,94.34µm
net73,93.58µm
_222_,89.64µm
net63,85.695µm
net71,84.72µm
net61,83.55µm
net51,83.52µm
net53,83.4µm
full_compare\[0\],81.36µm
net70,78.74µm
clknet_4_9_0_wr_clk,77.1µm
clknet_4_11_0_wr_clk,76.64µm
net72,76.18µm
net38,76.14µm
net41,70.155µm
clknet_4_15_0_wr_clk,69.62µm
net52,68.78µm
net15,66.52µm
clknet_4_6_0_wr_clk,65.68µm
net62,63.9µm
net54,63.67µm
clknet_4_14_0_wr_clk,63.4µm
clknet_4_3_0_wr_clk,63.14µm
clknet_4_12_0_wr_clk,61.42µm
clknet_4_8_0_wr_clk,61.34µm
net58,60.72µm
net29,60.58µm
net12,59.76µm
net60,58.24µm
rd_bin\[1\],55.48µm
net64,55.23µm
net34,53.06µm
net17,52.7µm
net66,52.18µm
_288_,51µm
net16,47.86µm
net56,47.54µm
wr_gray_next\[0\],47.48µm
rd_bin\[4\],46.48µm
_284_,46.28µm
net37,46.04µm
_253_,45.18µm
net20,44.28µm
wr_bin\[4\],43.225µm
wr_gray_sync2\[0\],42.54µm
net31,41.98µm
rd_bin\[3\],41.84µm
net19,41.28µm
net30,40.58µm
wr_bin\[3\],40.4µm
_254_,40.15µm
net18,39.9µm
wr_bin_sync\[4\],39.66µm
_160_,39.46µm
net21,38.7µm
_286_,36.7µm
net14,36.1µm
net32,35.72µm
_272_,35.26µm
_137_,34.12µm
wr_gray_sync2\[1\],34µm
_230_,33.9µm
wr_gray_sync2\[3\],33.86µm
wr_gray_sync2\[2\],33.78µm
_257_,32.7µm
_278_,32.7µm
wr_bin\[2\],32.52µm
_247_,32.26µm
_282_,31.84µm
rd_gray_next\[1\],31.22µm
rd_gray_next\[3\],30.46µm
wr_bin\[0\],30.3µm
wr_gray_next\[1\],30µm
_208_,29.94µm
_261_,29.06µm
_214_,28.86µm
_269_,28.285µm
_211_,27.92µm
_262_,27.5µm
_216_,26.88µm
wr_gray_next\[2\],24.98µm
_281_,23.92µm
_279_,23.81µm
_292_,23.34µm
mem\[13\]\[1\],23.2µm
_267_,23.04µm
full_next,22.54µm
mem\[12\]\[2\],21.4µm
full_compare\[1\],21.34µm
_221_,21.26µm
mem\[7\]\[6\],21.16µm
mem\[14\]\[4\],20.81µm
_175_,20.675µm
mem\[7\]\[7\],20.44µm
rd_gray_next\[2\],20.44µm
mem\[1\]\[5\],20.4µm
mem\[3\]\[2\],20.26µm
_212_,20.22µm
mem\[4\]\[0\],20µm
_145_,19.88µm
_188_,19.88µm
mem\[11\]\[7\],19.82µm
_185_,19.3µm
_242_,19.05µm
_235_,19.04µm
mem\[13\]\[0\],18.82µm
_181_,18.66µm
mem\[8\]\[4\],18.58µm
mem\[14\]\[3\],18.45µm
_277_,18.4µm
_157_,18.38µm
_189_,18.34µm
mem\[3\]\[4\],18.18µm
mem\[10\]\[1\],17.925µm
rd_gray_sync1\[1\],17.92µm
mem\[6\]\[2\],17.825µm
_209_,17.62µm
mem\[14\]\[2\],17.565µm
_248_,17.52µm
_274_,17.465µm
full_compare\[2\],17.3µm
mem\[5\]\[4\],17.26µm
mem\[13\]\[4\],17.24µm
mem\[6\]\[7\],17.15µm
mem\[15\]\[7\],17.01µm
_179_,16.96µm
_246_,16.92µm
mem\[9\]\[1\],16.84µm
mem\[9\]\[7\],16.74µm
mem\[10\]\[7\],16.705µm
_215_,16.64µm
mem\[7\]\[3\],16.56µm
mem\[0\]\[0\],16.5µm
_238_,16.48µm
mem\[7\]\[5\],16.44µm
mem\[8\]\[6\],16.34µm
_159_,16.24µm
mem\[11\]\[1\],16.16µm
mem\[7\]\[0\],16.02µm
mem\[4\]\[3\],15.94µm
mem\[2\]\[1\],15.93µm
_276_,15.88µm
_255_,15.84µm
_138_,15.78µm
net171,15.78µm
mem\[0\]\[3\],15.72µm
mem\[6\]\[4\],15.69µm
mem\[1\]\[0\],15.68µm
mem\[5\]\[6\],15.64µm
_259_,15.585µm
_249_,15.52µm
mem\[14\]\[6\],15.465µm
mem\[4\]\[4\],15.32µm
rd_gray_next\[0\],15.3µm
mem\[11\]\[6\],15.22µm
mem\[7\]\[2\],15.2µm
mem\[1\]\[1\],15.18µm
mem\[6\]\[0\],15.165µm
mem\[10\]\[5\],15.155µm
_183_,15.1µm
mem\[10\]\[0\],15.07µm
_210_,15.06µm
_244_,15µm
rd_gray_sync2\[3\],14.98µm
mem\[10\]\[4\],14.965µm
_150_,14.92µm
rd_gray_sync1\[2\],14.92µm
_243_,14.88µm
mem\[14\]\[0\],14.825µm
wr_bin\[1\],14.76µm
_180_,14.68µm
_135_,14.665µm
_139_,14.58µm
mem\[10\]\[2\],14.525µm
mem\[5\]\[1\],14.5µm
mem\[9\]\[4\],14.5µm
mem\[10\]\[6\],14.425µm
mem\[6\]\[6\],14.425µm
mem\[2\]\[2\],14.37µm
mem\[12\]\[4\],14.18µm
mem\[2\]\[4\],14.11µm
mem\[14\]\[1\],14.105µm
_112_,14.005µm
mem\[3\]\[0\],13.56µm
mem\[8\]\[1\],13.54µm
mem\[0\]\[1\],13.52µm
rd_gray_sync1\[4\],13.5µm
_251_,13.44µm
mem\[15\]\[4\],13.38µm
mem\[12\]\[1\],13.2µm
_245_,13.16µm
net33,13.12µm
net147,13.08µm
wr_gray\[1\],13.06µm
wr_en,12.94µm
mem\[2\]\[6\],12.905µm
net2,12.84µm
_105_,12.825µm
mem\[13\]\[2\],12.8µm
mem\[10\]\[3\],12.79µm
_265_,12.72µm
_231_,12.68µm
mem\[3\]\[6\],12.6µm
_108_,12.52µm
mem\[11\]\[5\],12.46µm
_106_,12.44µm
empty,12.43µm
mem\[9\]\[6\],12.42µm
net118,12.4µm
mem\[15\]\[5\],12.3µm
net27,12.26µm
mem\[11\]\[3\],12.2µm
_270_,12.16µm
net162,12.12µm
mem\[15\]\[3\],12.1µm
afull_threshold[3],12.02µm
net25,12.01µm
mem\[3\]\[3\],11.98µm
mem\[5\]\[0\],11.96µm
net80,11.82µm
mem\[11\]\[2\],11.8µm
mem\[2\]\[3\],11.77µm
mem\[15\]\[0\],11.76µm
mem\[9\]\[3\],11.72µm
net81,11.7µm
mem\[6\]\[1\],11.65µm
mem\[6\]\[5\],11.65µm
mem\[9\]\[2\],11.64µm
mem\[12\]\[0\],11.62µm
mem\[5\]\[7\],11.58µm
_149_,11.54µm
mem\[15\]\[1\],11.5µm
net161,11.48µm
wr_gray_next\[3\],11.445µm
_192_,11.42µm
_297_,11.4µm
mem\[9\]\[0\],11.38µm
mem\[12\]\[5\],11.34µm
mem\[14\]\[7\],11.31µm
rd_gray\[2\],11.28µm
mem\[2\]\[7\],11.27µm
_260_,11.24µm
afull_threshold[0],11.1µm
afull_threshold[1],11.1µm
afull_threshold[2],11.1µm
wr_data[0],11.1µm
mem\[4\]\[7\],11.08µm
_129_,11.065µm
net113,11.06µm
mem\[13\]\[6\],11.04µm
full,11µm
rd_data[6],11µm
net13,11µm
_140_,10.96µm
_239_,10.9µm
mem\[4\]\[6\],10.86µm
mem\[2\]\[5\],10.85µm
_097_,10.825µm
_178_,10.82µm
mem\[8\]\[0\],10.82µm
rd_gray_sync1\[3\],10.82µm
_194_,10.68µm
_250_,10.64µm
mem\[3\]\[7\],10.62µm
mem\[7\]\[1\],10.62µm
_107_,10.605µm
_264_,10.565µm
mem\[3\]\[1\],10.555µm
rd_data[0],10.54µm
_043_,10.525µm
_153_,10.52µm
mem\[14\]\[5\],10.465µm
net180,10.46µm
mem\[0\]\[2\],10.4µm
mem\[12\]\[3\],10.4µm
mem\[1\]\[2\],10.36µm
net137,10.36µm
net182,10.36µm
mem\[0\]\[5\],10.28µm
mem\[1\]\[4\],10.28µm
_152_,10.26µm
wr_gray\[0\],10.22µm
mem\[15\]\[2\],10.16µm
mem\[1\]\[3\],10.16µm
_024_,10.155µm
mem\[0\]\[7\],10.08µm
mem\[2\]\[0\],10.045µm
_148_,10.04µm
net28,9.82µm
_154_,9.8µm
_193_,9.7µm
mem\[11\]\[0\],9.66µm
mem\[1\]\[7\],9.66µm
net133,9.56µm
_114_,9.525µm
_033_,9.485µm
_158_,9.48µm
mem\[0\]\[4\],9.48µm
_290_,9.38µm
_014_,9.365µm
net7,9.34µm
_113_,9.325µm
wr_gray_sync1\[2\],9.32µm
net84,9.28µm
net209,9.26µm
rd_en,9.25µm
_190_,9.22µm
mem\[11\]\[4\],9.2µm
net166,9.18µm
net197,9.18µm
net169,9.14µm
wr_gray_sync1\[1\],9.1µm
_133_,9.005µm
_031_,8.985µm
_117_,8.985µm
rd_data[3],8.96µm
rd_data[5],8.96µm
net148,8.94µm
mem\[6\]\[3\],8.93µm
_044_,8.905µm
_213_,8.9µm
mem\[5\]\[2\],8.9µm
_136_,8.84µm
_039_,8.785µm
mem\[13\]\[7\],8.78µm
mem\[5\]\[5\],8.74µm
_120_,8.725µm
wr_data[3],8.72µm
wr_data[4],8.72µm
wr_data[5],8.72µm
net200,8.66µm
rd_bin_sync\[4\],8.63µm
net5,8.56µm
net203,8.56µm
_236_,8.54µm
net1,8.48µm
net179,8.48µm
aempty,8.47µm
_042_,8.445µm
net190,8.44µm
wr_gray_sync1\[3\],8.4µm
_204_,8.38µm
_273_,8.34µm
_156_,8.32µm
_184_,8.32µm
mem\[1\]\[6\],8.32µm
mem\[8\]\[5\],8.32µm
net128,8.3µm
wr_bin_next\[3\],8.28µm
net3,8.26µm
mem\[7\]\[4\],8.24µm
_131_,8.225µm
_143_,8.16µm
_132_,8.155µm
_224_,8.1µm
net26,8.1µm
_111_,8.065µm
net173,8.06µm
_017_,8.035µm
_122_,8.025µm
_187_,7.98µm
_127_,7.935µm
mem\[8\]\[3\],7.9µm
aempty_threshold[4],7.89µm
mem\[13\]\[3\],7.86µm
net88,7.86µm
net103,7.84µm
_060_,7.805µm
_130_,7.695µm
_191_,7.68µm
_176_,7.64µm
_275_,7.64µm
mem\[8\]\[2\],7.64µm
wr_bin_next\[1\],7.64µm
_115_,7.605µm
_070_,7.565µm
_144_,7.46µm
mem\[8\]\[7\],7.4µm
_083_,7.385µm
_103_,7.385µm
_040_,7.34µm
rd_data[1],7.33µm
_142_,7.32µm
mem\[4\]\[1\],7.28µm
net82,7.24µm
mem\[5\]\[3\],7.2µm
_096_,7.145µm
_266_,7.14µm
wr_data[2],7.13µm
net97,7.1µm
net157,7.1µm
net163,7.1µm
net193,7.1µm
_168_,7.08µm
_241_,7.08µm
_182_,7µm
_076_,6.985µm
mem\[12\]\[6\],6.98µm
net115,6.96µm
net149,6.96µm
net164,6.96µm
_146_,6.94µm
net140,6.9µm
_027_,6.885µm
net101,6.84µm
net205,6.84µm
_062_,6.825µm
_013_,6.805µm
_151_,6.76µm
_280_,6.76µm
_037_,6.705µm
_038_,6.705µm
_066_,6.705µm
_082_,6.705µm
_061_,6.695µm
_045_,6.685µm
_018_,6.645µm
mem\[3\]\[5\],6.62µm
net106,6.54µm
_035_,6.525µm
net100,6.5µm
net172,6.5µm
net184,6.5µm
